sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
mmm-sispa-ill-s71898-2,0.62,99.38,15356,11124,mmm-sispa-ill-s71898-2.fasta,mmm-sispa-ill-s71898-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s26992-1,0.32,99.52,29808,420543,mmm-artic-ill-s26992-1.fasta,mmm-artic-ill-s26992-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s97487-1,0.32,99.68,29809,177415,mmm-artic-ill-s97487-1.fasta,mmm-artic-ill-s97487-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12220-2,0.48,99.52,28264,671124,mmm-artic-ill-s12220-2.fasta,mmm-artic-ill-s12220-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s12368-2,0.00,100.00,29903,2292658,mmm-sispa-ill-s12368-2.fasta,mmm-sispa-ill-s12368-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s28127-3,0.28,99.67,29820,248762,mmm-artic-ill-s28127-3.fasta,mmm-artic-ill-s28127-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s28127-2,0.31,99.63,29810,164029,mmm-artic-ill-s28127-2.fasta,mmm-artic-ill-s28127-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s11116-1,0.92,99.04,22805,243676,mmm-artic-ill-s11116-1.fasta,mmm-artic-ill-s11116-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s62394-2,0.32,99.63,29807,643459,mmm-artic-ill-s62394-2.fasta,mmm-artic-ill-s62394-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s12152-2,0.32,99.68,29807,638644,mmm-artic-ill-s12152-2.fasta,mmm-artic-ill-s12152-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s59130-3,0.00,99.99,29903,2636186,mmm-sispa-ill-s59130-3.fasta,mmm-sispa-ill-s59130-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s11511-1,0.22,99.78,29836,24658,mmm-sispa-ill-s11511-1.fasta,mmm-sispa-ill-s11511-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s71898-1,0.22,99.78,29836,52619,mmm-sispa-ill-s71898-1.fasta,mmm-sispa-ill-s71898-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s98244-3,0.00,99.99,29903,2861395,mmm-sispa-ill-s98244-3.fasta,mmm-sispa-ill-s98244-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s62394-1,0.26,99.68,29827,735398,mmm-artic-ill-s62394-1.fasta,mmm-artic-ill-s62394-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s96685-2,0.32,99.63,29807,488922,mmm-artic-ill-s96685-2.fasta,mmm-artic-ill-s96685-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s13528-2,4.88,95.10,9531,153622,mmm-artic-ill-s13528-2.fasta,mmm-artic-ill-s13528-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s13528-1,2.57,97.41,17485,188340,mmm-artic-ill-s13528-1.fasta,mmm-artic-ill-s13528-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s96685-1,0.32,99.62,29808,532139,mmm-artic-ill-s96685-1.fasta,mmm-artic-ill-s96685-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s18748-1,0.32,99.68,29809,209587,mmm-artic-ill-s18748-1.fasta,mmm-artic-ill-s18748-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s82203-2,0.31,99.74,11258,496015,mmm-artic-ill-s82203-2.fasta,mmm-artic-ill-s82203-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s71898-2,0.25,99.75,29829,596700,mmm-artic-ill-s71898-2.fasta,mmm-artic-ill-s71898-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s17576-1,0.68,99.32,29351,177143,mmm-artic-ill-s17576-1.fasta,mmm-artic-ill-s17576-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s14131-1,0.37,99.62,24143,223998,mmm-artic-ill-s14131-1.fasta,mmm-artic-ill-s14131-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s11511-2,0.32,99.68,29807,743146,mmm-artic-ill-s11511-2.fasta,mmm-artic-ill-s11511-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s16621-1,0.25,99.70,29829,679494,mmm-artic-ill-s16621-1.fasta,mmm-artic-ill-s16621-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s32685-1,0.56,99.44,22486,162997,mmm-artic-ill-s32685-1.fasta,mmm-artic-ill-s32685-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s24350-2,0.00,100.00,29903,2281592,mmm-sispa-ill-s24350-2.fasta,mmm-sispa-ill-s24350-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s13464-1,14.17,85.83,8186,243809,mmm-artic-ill-s13464-1.fasta,mmm-artic-ill-s13464-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s78022-1,3.27,96.72,4742,331212,mmm-artic-ill-s78022-1.fasta,mmm-artic-ill-s78022-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s23460-1,3.11,96.87,17481,517958,mmm-artic-ill-s23460-1.fasta,mmm-artic-ill-s23460-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s58058-1,0.30,99.70,29814,427738,mmm-artic-ill-s58058-1.fasta,mmm-artic-ill-s58058-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s53667-2,0.91,99.07,22615,608803,mmm-artic-ill-s53667-2.fasta,mmm-artic-ill-s53667-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s35910-3,0.32,99.62,29808,584224,mmm-artic-ill-s35910-3.fasta,mmm-artic-ill-s35910-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s29903-1,0.32,99.68,29808,200556,mmm-artic-ill-s29903-1.fasta,mmm-artic-ill-s29903-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s64379-3,0.00,100.00,29903,3208650,mmm-sispa-ill-s64379-3.fasta,mmm-sispa-ill-s64379-3.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s53667-1,0.22,99.76,29830,292656,mmm-sispa-ill-s53667-1.fasta,mmm-sispa-ill-s53667-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s52247-2,30.70,69.27,3009,3425,mmm-sispa-ill-s52247-2.fasta,mmm-sispa-ill-s52247-2.mapped.primertrimmed.sorted.bam,TRUE
mmm-sispa-ill-s52247-1,40.15,59.81,2375,2577,mmm-sispa-ill-s52247-1.fasta,mmm-sispa-ill-s52247-1.mapped.primertrimmed.sorted.bam,TRUE
mmm-artic-ill-s56299-1,0.32,99.68,29807,801248,mmm-artic-ill-s56299-1.fasta,mmm-artic-ill-s56299-1.mapped.primertrimmed.sorted.bam,TRUE
