name,class_,origin,sample_hash,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-sispa-ont_s12368_2,mmm-sispa-ont,culture,s12368,ont,sispa,2,mmm-sispa-ont_s12368_2*.fastq.gz,100.0,30086,P.2,3.1.5
mmm-sispa-ont_s12368_3,mmm-sispa-ont,culture,s12368,ont,sispa,3,mmm-sispa-ont_s12368_3*.fastq.gz,100.0,10512,P.2,3.1.5
mmm-artic-ill_s11937_1,mmm-artic-ill,clinical,s11937,ill,artic,1,mmm-artic-ill_s11937_1*.fastq.gz,97.78740263228579,625,B.1.177,3.1.5
mmm-artic-ill_s11937_2,mmm-artic-ill,clinical,s11937,ill,artic,2,mmm-artic-ill_s11937_2*.fastq.gz,100.0,2174,B.1.177,3.1.5
mmm-artic-ill_s11937_3,mmm-artic-ill,clinical,s11937,ill,artic,3,mmm-artic-ill_s11937_3*.fastq.gz,97.67660488853076,1214,B.1.177,3.1.5
mmm-artic-ont_s11937_1,mmm-artic-ont,clinical,s11937,ont,artic,1,mmm-artic-ont_s11937_1*.fastq.gz,100.0,1701,B.1.177,3.1.5
mmm-artic-ill_s32219_1,mmm-artic-ill,culture,s32219,ill,artic,1,mmm-artic-ill_s32219_1*.fastq.gz,98.6368520010744,3549,B.1.351,3.1.5
mmm-artic-ill_s32219_2,mmm-artic-ill,culture,s32219,ill,artic,2,mmm-artic-ill_s32219_2*.fastq.gz,98.64020950846091,4267,B.1.351,3.1.5
mmm-artic-ont_s32219_1,mmm-artic-ont,culture,s32219,ont,artic,1,mmm-artic-ont_s32219_1*.fastq.gz,99.46279881815741,3675,B.1.351,3.1.5
mmm-artic-ont_s32219_2,mmm-artic-ont,culture,s32219,ont,artic,2,mmm-artic-ont_s32219_2*.fastq.gz,99.45944131077088,2039,B.1.351,3.1.5
mmm-sispa-ont_s32219_1,mmm-sispa-ont,culture,s32219,ont,sispa,1,mmm-sispa-ont_s32219_1*.fastq.gz,100.0,437,B.1.351,3.1.5
mmm-sispa-ont_s32219_2,mmm-sispa-ont,culture,s32219,ont,sispa,2,mmm-sispa-ont_s32219_2*.fastq.gz,100.0,685,B.1.351,3.1.5
phe-sispa-ill_s32219_1,phe-sispa-ill,culture,s32219,ill,sispa,1,phe-sispa-ill_s32219_1*.fastq.gz,99.95635240397529,711,B.1.351,3.1.5
mmm-artic-ill_s79306_1,mmm-artic-ill,culture,s79306,ill,artic,1,mmm-artic-ill_s79306_1*.fastq.gz,99.9395648670427,4754,B.1.1.7,3.1.5
mmm-artic-ill_s79306_2,mmm-artic-ill,culture,s79306,ill,artic,2,mmm-artic-ill_s79306_2*.fastq.gz,86.61361804995971,189,B.1.1.7,3.1.5
mmm-artic-ont_s79306_1,mmm-artic-ont,culture,s79306,ont,artic,1,mmm-artic-ont_s79306_1*.fastq.gz,100.0,2482,B.1.1.7,3.1.5
mmm-artic-ont_s79306_2,mmm-artic-ont,culture,s79306,ont,artic,2,mmm-artic-ont_s79306_2*.fastq.gz,100.0,1895,B.1.1.7,3.1.5
mmm-artic-ill_s12142_1,mmm-artic-ill,culture,s12142,ill,artic,1,mmm-artic-ill_s12142_1*.fastq.gz,99.9395648670427,5256,B.1.1.7,3.1.5
mmm-artic-ill_s12142_2,mmm-artic-ill,culture,s12142,ill,artic,2,mmm-artic-ill_s12142_2*.fastq.gz,99.9395648670427,5862,B.1.1.7,3.1.5
mmm-artic-ont_s12142_1,mmm-artic-ont,culture,s12142,ont,artic,1,mmm-artic-ont_s12142_1*.fastq.gz,100.0,7205,B.1.1.7,3.1.5
mmm-artic-ont_s12142_2,mmm-artic-ont,culture,s12142,ont,artic,2,mmm-artic-ont_s12142_2*.fastq.gz,100.0,10639,B.1.1.7,3.1.5
mmm-artic-ill_s82718_1,mmm-artic-ill,culture,s82718,ill,artic,1,mmm-artic-ill_s82718_1*.fastq.gz,99.46951383293043,3781,B.1.1.7,3.1.5
mmm-artic-ill_s82718_2,mmm-artic-ill,culture,s82718,ill,artic,2,mmm-artic-ill_s82718_2*.fastq.gz,99.16062315337093,4501,B.1.1.7,3.1.5
mmm-artic-ont_s82718_1,mmm-artic-ont,culture,s82718,ont,artic,1,mmm-artic-ont_s82718_1*.fastq.gz,100.0,6363,B.1.1.7,3.1.5
mmm-artic-ont_s82718_2,mmm-artic-ont,culture,s82718,ont,artic,2,mmm-artic-ont_s82718_2*.fastq.gz,100.0,3123,B.1.1.7,3.1.5
phe-sispa-ill_s82718_1,phe-sispa-ill,culture,s82718,ill,sispa,1,phe-sispa-ill_s82718_1*.fastq.gz,99.99328498522698,20493,B.1.1.7,3.1.5
phe-sispa-ont_s82718_1,phe-sispa-ont,culture,s82718,ont,sispa,1,phe-sispa-ont_s82718_1*.fastq.gz,100.0,1248,B.1.1.7,3.1.5
mmm-artic-ill_s14305_1,mmm-artic-ill,clinical,s14305,ill,artic,1,mmm-artic-ill_s14305_1*.fastq.gz,97.85791028740263,715,B.1.13,3.1.5
