name,class_,sample,platform,amplification,replicate,fastq_filename,cov20_pc,median_depth,pangolin_lineage,pangolin_version
mmm-artic-ont__Brazil_P.2_30270_P2D2__2,mmm-artic-ont,Brazil_P.2_30270_P2D2,ont,artic,2,mmm-artic-ont__Brazil_P.2_30270_P2D2__2*.fastq.gz,100.0,1221,P.2,3.1.5
mmm-artic-ont__Brazil_P.2_30270_P2D2__3,mmm-artic-ont,Brazil_P.2_30270_P2D2,ont,artic,3,mmm-artic-ont__Brazil_P.2_30270_P2D2__3*.fastq.gz,100.0,1324,P.2,3.1.5
mmm-sispa-ill__Brazil_P.2_30270_P2D2__1,mmm-sispa-ill,Brazil_P.2_30270_P2D2,ill,sispa,1,mmm-sispa-ill__Brazil_P.2_30270_P2D2__1*.fastq.gz,100.0,10360,P.2,3.1.5
mmm-sispa-ill__Brazil_P.2_30270_P2D2__2,mmm-sispa-ill,Brazil_P.2_30270_P2D2,ill,sispa,2,mmm-sispa-ill__Brazil_P.2_30270_P2D2__2*.fastq.gz,100.0,10029,P.2,3.1.5
mmm-sispa-ill__Brazil_P.2_30270_P2D2__3,mmm-sispa-ill,Brazil_P.2_30270_P2D2,ill,sispa,3,mmm-sispa-ill__Brazil_P.2_30270_P2D2__3*.fastq.gz,100.0,10418,P.2,3.1.5
mmm-sispa-ont__Brazil_P.2_30270_P2D2__1,mmm-sispa-ont,Brazil_P.2_30270_P2D2,ont,sispa,1,mmm-sispa-ont__Brazil_P.2_30270_P2D2__1*.fastq.gz,100.0,686,P.2,3.1.5
mmm-sispa-ont__Brazil_P.2_30270_P2D2__2,mmm-sispa-ont,Brazil_P.2_30270_P2D2,ont,sispa,2,mmm-sispa-ont__Brazil_P.2_30270_P2D2__2*.fastq.gz,100.0,30086,P.2,3.1.5
mmm-sispa-ont__Brazil_P.2_30270_P2D2__3,mmm-sispa-ont,Brazil_P.2_30270_P2D2,ont,sispa,3,mmm-sispa-ont__Brazil_P.2_30270_P2D2__3*.fastq.gz,100.0,10512,P.2,3.1.5
mmm-artic-ill__F79845__1,mmm-artic-ill,F79845,ill,artic,1,mmm-artic-ill__F79845__1*.fastq.gz,97.78740263228579,625,B.1.177,3.1.5
mmm-artic-ill__F79845__2,mmm-artic-ill,F79845,ill,artic,2,mmm-artic-ill__F79845__2*.fastq.gz,100.0,2174,B.1.177,3.1.5
