sample_name,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,fasta,bam,qc_pass
mmm-sispa-ont-s98244-3,0.42,99.60,11338,90065,mmm-sispa-ont-s98244-3.consensus.fasta,mmm-sispa-ont-s98244-3.primertrimmed.rg.sorted.bam,TRUE
phe-sispa-ont-s82718-1,0.40,99.59,29764,38215,phe-sispa-ont-s82718-1.consensus.fasta,phe-sispa-ont-s82718-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s99011-1,0.40,99.46,29783,90310,mmm-artic-ont-s99011-1.consensus.fasta,mmm-artic-ont-s99011-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12142-1,0.40,99.60,29763,93828,mmm-artic-ont-s12142-1.consensus.fasta,mmm-artic-ont-s12142-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s14270-1,0.40,99.58,29783,52618,mmm-artic-ont-s14270-1.consensus.fasta,mmm-artic-ont-s14270-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s35910-1,3.22,96.76,17992,39949,mmm-artic-ont-s35910-1.consensus.fasta,mmm-artic-ont-s35910-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s24350-2,0.41,99.60,28199,90903,mmm-artic-ont-s24350-2.consensus.fasta,mmm-artic-ont-s24350-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s32219-2,1.13,98.87,22253,76942,mmm-artic-ont-s32219-2.consensus.fasta,mmm-artic-ont-s32219-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s79306-1,0.41,99.60,12912,84425,mmm-artic-ont-s79306-1.consensus.fasta,mmm-artic-ont-s79306-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12368-1,0.40,99.60,29783,92365,mmm-artic-ont-s12368-1.consensus.fasta,mmm-artic-ont-s12368-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s24350-3,0.41,99.60,28199,92685,mmm-sispa-ont-s24350-3.consensus.fasta,mmm-sispa-ont-s24350-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s14305-1,0.40,99.60,29783,92936,mmm-artic-ont-s14305-1.consensus.fasta,mmm-artic-ont-s14305-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s64379-3,0.40,99.60,29783,91468,mmm-artic-ont-s64379-3.consensus.fasta,mmm-artic-ont-s64379-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12142-2,0.40,99.60,29763,96740,mmm-artic-ont-s12142-2.consensus.fasta,mmm-artic-ont-s12142-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s64379-3,0.41,99.60,28574,90759,mmm-sispa-ont-s64379-3.consensus.fasta,mmm-sispa-ont-s64379-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s29903-1,0.40,99.60,29783,93621,mmm-artic-ont-s29903-1.consensus.fasta,mmm-artic-ont-s29903-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s71898-1,0.40,99.60,29783,74821,mmm-artic-ont-s71898-1.consensus.fasta,mmm-artic-ont-s71898-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s12368-2,0.41,99.60,28574,95461,mmm-sispa-ont-s12368-2.consensus.fasta,mmm-sispa-ont-s12368-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s79306-2,0.41,99.60,12912,79363,mmm-artic-ont-s79306-2.consensus.fasta,mmm-artic-ont-s79306-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s82203-4,6.06,93.83,8140,50995,mmm-artic-ont-s82203-4.consensus.fasta,mmm-artic-ont-s82203-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s59130-3,0.41,99.55,28199,87227,mmm-artic-ont-s59130-3.consensus.fasta,mmm-artic-ont-s59130-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s96685-4,17.84,82.04,3853,17824,mmm-artic-ont-s96685-4.consensus.fasta,mmm-artic-ont-s96685-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s59130-2,0.41,99.54,28199,85609,mmm-artic-ont-s59130-2.consensus.fasta,mmm-artic-ont-s59130-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s32219-2,6.42,93.53,4129,13143,mmm-sispa-ont-s32219-2.consensus.fasta,mmm-sispa-ont-s32219-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s96685-3,26.09,74.28,2770,9703,mmm-artic-ont-s96685-3.consensus.fasta,mmm-artic-ont-s96685-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s59130-1,0.41,99.54,28199,86441,mmm-artic-ont-s59130-1.consensus.fasta,mmm-artic-ont-s59130-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11937-1,0.40,99.60,29783,71799,mmm-artic-ont-s11937-1.consensus.fasta,mmm-artic-ont-s11937-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s98244-1,4.56,95.54,3854,12254,mmm-sispa-ont-s98244-1.consensus.fasta,mmm-sispa-ont-s98244-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s98244-1,0.41,99.54,16861,80097,mmm-artic-ont-s98244-1.consensus.fasta,mmm-artic-ont-s98244-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s98244-2,0.41,99.53,16861,73635,mmm-artic-ont-s98244-2.consensus.fasta,mmm-artic-ont-s98244-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s24350-1,0.41,99.59,28199,65289,mmm-artic-ont-s24350-1.consensus.fasta,mmm-artic-ont-s24350-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s12368-1,5.98,93.72,3781,10279,mmm-sispa-ont-s12368-1.consensus.fasta,mmm-sispa-ont-s12368-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s32219-1,14.33,85.75,3913,8697,mmm-sispa-ont-s32219-1.consensus.fasta,mmm-sispa-ont-s32219-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s64379-1,0.40,99.59,29783,36685,mmm-artic-ont-s64379-1.consensus.fasta,mmm-artic-ont-s64379-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12368-3,0.40,99.60,29783,81024,mmm-artic-ont-s12368-3.consensus.fasta,mmm-artic-ont-s12368-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s12368-2,0.40,99.60,29783,76817,mmm-artic-ont-s12368-2.consensus.fasta,mmm-artic-ont-s12368-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s64379-1,20.23,80.10,2768,5761,mmm-sispa-ont-s64379-1.consensus.fasta,mmm-sispa-ont-s64379-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s24350-1,5.59,94.19,3349,10146,mmm-sispa-ont-s24350-1.consensus.fasta,mmm-sispa-ont-s24350-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s98244-3,1.25,98.74,16861,50599,mmm-artic-ont-s98244-3.consensus.fasta,mmm-artic-ont-s98244-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s13464-1,1.39,98.61,19222,61787,mmm-artic-ont-s13464-1.consensus.fasta,mmm-artic-ont-s13464-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s52247-1,1.54,98.28,21365,31892,mmm-artic-ont-s52247-1.consensus.fasta,mmm-artic-ont-s52247-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s52247-3,1.40,98.60,27440,67194,mmm-artic-ont-s52247-3.consensus.fasta,mmm-artic-ont-s52247-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s13935-1,0.40,99.59,29764,80078,mmm-artic-ont-s13935-1.consensus.fasta,mmm-artic-ont-s13935-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s53667-1,0.40,99.60,29777,87785,mmm-artic-ont-s53667-1.consensus.fasta,mmm-artic-ont-s53667-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s53667-3,0.40,99.60,29777,94561,mmm-artic-ont-s53667-3.consensus.fasta,mmm-artic-ont-s53667-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s18748-1,0.40,99.60,29783,56870,mmm-artic-ont-s18748-1.consensus.fasta,mmm-artic-ont-s18748-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s68576-1,0.40,99.60,29764,74973,mmm-artic-ont-s68576-1.consensus.fasta,mmm-artic-ont-s68576-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s32685-1,0.40,99.60,29783,73681,mmm-artic-ont-s32685-1.consensus.fasta,mmm-artic-ont-s32685-1.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s35910-2,2.70,97.27,5463,15059,mmm-sispa-ont-s35910-2.consensus.fasta,mmm-sispa-ont-s35910-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s35910-3,2.75,97.26,5553,18036,mmm-sispa-ont-s35910-3.consensus.fasta,mmm-sispa-ont-s35910-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s53667-2,0.40,99.60,29777,96615,mmm-artic-ont-s53667-2.consensus.fasta,mmm-artic-ont-s53667-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11511-3,0.40,99.60,29783,86333,mmm-artic-ont-s11511-3.consensus.fasta,mmm-artic-ont-s11511-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11511-4,0.40,99.60,29783,93677,mmm-artic-ont-s11511-4.consensus.fasta,mmm-artic-ont-s11511-4.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s11511-2,4.47,95.46,8560,13460,mmm-sispa-ont-s11511-2.consensus.fasta,mmm-sispa-ont-s11511-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s58058-1,0.40,99.60,29783,95694,mmm-artic-ont-s58058-1.consensus.fasta,mmm-artic-ont-s58058-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11511-2,0.40,99.60,29783,95298,mmm-artic-ont-s11511-2.consensus.fasta,mmm-artic-ont-s11511-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s52247-4,1.40,98.60,27440,72372,mmm-artic-ont-s52247-4.consensus.fasta,mmm-artic-ont-s52247-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s23460-1,0.41,99.60,25850,88346,mmm-artic-ont-s23460-1.consensus.fasta,mmm-artic-ont-s23460-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s52247-2,0.40,99.60,29764,81331,mmm-artic-ont-s52247-2.consensus.fasta,mmm-artic-ont-s52247-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s78022-1,2.46,97.50,20489,45066,mmm-artic-ont-s78022-1.consensus.fasta,mmm-artic-ont-s78022-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s56299-2,20.69,79.53,4114,9762,mmm-artic-ont-s56299-2.consensus.fasta,mmm-artic-ont-s56299-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s56299-3,40.93,59.14,2505,8847,mmm-artic-ont-s56299-3.consensus.fasta,mmm-artic-ont-s56299-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s96685-2,4.72,95.00,9278,30393,mmm-artic-ont-s96685-2.consensus.fasta,mmm-artic-ont-s96685-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s56299-4,22.41,77.09,4114,17638,mmm-artic-ont-s56299-4.consensus.fasta,mmm-artic-ont-s56299-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s16621-1,0.40,99.60,29764,90028,mmm-artic-ont-s16621-1.consensus.fasta,mmm-artic-ont-s16621-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s62394-1,13.24,86.54,4114,12109,mmm-artic-ont-s62394-1.consensus.fasta,mmm-artic-ont-s62394-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s11511-1,0.40,99.60,29783,88427,mmm-artic-ont-s11511-1.consensus.fasta,mmm-artic-ont-s11511-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s96685-1,39.66,59.80,1749,3500,mmm-artic-ont-s96685-1.consensus.fasta,mmm-artic-ont-s96685-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s62394-4,5.88,94.11,13878,31922,mmm-artic-ont-s62394-4.consensus.fasta,mmm-artic-ont-s62394-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s16621-4,0.40,99.60,29764,93913,mmm-artic-ont-s16621-4.consensus.fasta,mmm-artic-ont-s16621-4.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s62394-3,4.10,95.52,13878,38496,mmm-artic-ont-s62394-3.consensus.fasta,mmm-artic-ont-s62394-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s16621-3,0.40,99.60,29764,93277,mmm-artic-ont-s16621-3.consensus.fasta,mmm-artic-ont-s16621-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s14131-1,0.40,99.60,29780,92511,mmm-artic-ont-s14131-1.consensus.fasta,mmm-artic-ont-s14131-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s71898-3,0.40,99.60,29783,90183,mmm-artic-ont-s71898-3.consensus.fasta,mmm-artic-ont-s71898-3.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s16621-2,0.40,99.60,29764,95870,mmm-artic-ont-s16621-2.consensus.fasta,mmm-artic-ont-s16621-2.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s71898-2,0.40,99.60,29783,93393,mmm-artic-ont-s71898-2.consensus.fasta,mmm-artic-ont-s71898-2.primertrimmed.rg.sorted.bam,TRUE
mmm-sispa-ont-s71898-1,18.01,81.78,3723,4767,mmm-sispa-ont-s71898-1.consensus.fasta,mmm-sispa-ont-s71898-1.primertrimmed.rg.sorted.bam,TRUE
mmm-artic-ont-s71898-4,0.40,99.60,29783,93711,mmm-artic-ont-s71898-4.consensus.fasta,mmm-artic-ont-s71898-4.primertrimmed.rg.sorted.bam,TRUE
